Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Somalia,2022-01-11 08:21:10,5.152149,46.199616,24261,1335,,,152.6500075283679,,,5.502658587857055,706,SOM,1187,2
South Africa,2022-01-11 08:21:10,-30.5595,22.9375,3528463,92530,,,5949.3187254683935,,,2.622388275008127,710,ZAF,347678,2382
South Sudan,2022-01-11 08:21:10,6.877000000000002,31.307,16253,136,,,145.19736899115568,,,0.8367685965667877,728,SSD,3349,3
Spain,2022-01-11 08:21:10,40.463667,-3.74922,7457300,90136,,,15949.812022440568,,,1.2086948359325762,724,ESP,2117308,1652
Sri Lanka,2022-01-11 08:21:10,7.873054,80.77179699999998,592128,15134,,,2765.2411474204055,,,2.555866299178556,144,LKA,18479,493
Sudan,2022-01-11 08:21:10,12.8628,30.2176,48355,3340,,,110.27549854936008,,,6.907248474821633,729,SDN,3478,96
Summer Olympics 2020,2022-01-11 08:21:10,35.6491,139.7737,865,0,,,,,,0.0,2020,,0,0
Suriname,2022-01-11 08:21:10,3.9193,-56.0278,58714,1198,,,10008.625480282424,,,2.040399223353885,740,SUR,7512,21
Sweden,2022-01-11 08:21:10,60.1282,18.6435,1416650,15377,,,14027.251474611534,,,1.0854480640948716,752,SWE,187433,186
Switzerland,2022-01-11 08:21:10,46.8182,8.2275,1546877,12389,,,17873.428960122794,,,0.8009040149927887,756,CHE,411514,594
Syria,2022-01-11 08:21:10,34.802075,38.99681500000001,50527,2930,,,288.7148751044033,,,5.7988798068359495,760,SYR,1255,116
Taiwan*,2022-01-11 08:21:10,23.7,121.0,17394,850,,,73.03255793448105,,,4.88674255490399,158,TWN,652,2
Tajikistan,2022-01-11 08:21:10,38.861,71.2761,17493,125,,,183.4101133173168,,,0.7145715429028754,762,TJK,0,0
Tanzania,2022-01-11 08:21:10,-6.369028,34.888822,30564,740,,,51.16665720531046,,,2.421149064258605,834,TZA,4255,6
Thailand,2022-01-11 08:21:10,15.870032,100.992541,2284609,21850,,,3273.0798281913503,,,0.9563999791649248,764,THA,105432,644
Timor-Leste,2022-01-11 08:21:10,-8.874217,125.727539,19858,122,,,1506.1716783901002,,,0.6143619699869071,626,TLS,29,0
Togo,2022-01-11 08:21:10,8.6195,0.8248,34385,254,,,415.3411323490528,,,0.7386941980514758,768,TGO,7969,11
Tonga,2022-01-11 08:21:10,-21.179,-175.1982,1,0,,,0.9461006461867414,,,0.0,776,TON,0,0
Trinidad and Tobago,2022-01-11 08:21:10,10.6918,-61.2225,97354,3082,,,6956.386286156896,,,3.1657661729358835,780,TTO,16747,675
Tunisia,2022-01-11 08:21:10,33.886917,9.537499,744967,25670,,,6303.334281554748,,,3.4457902162109195,788,TUN,25381,238
Turkey,2022-01-11 08:21:10,38.9637,35.2433,10045658,83843,,,11911.037621509375,,,0.834619295221876,792,TUR,984713,4521
US,2022-01-11 08:21:10,40.0,-100.0,61558085,839500,,,18684.183534495394,,,1.3637526248582943,840,USA,11423909,39065
Uganda,2022-01-11 08:21:10,1.373333,32.290275,154578,3357,,,337.94189020790975,,,2.171719132088654,800,UGA,26478,88
Ukraine,2022-01-11 08:21:10,48.3794,31.1656,3890845,103935,,,8896.662644525937,,,2.671270636584084,804,UKR,147026,6806
United Arab Emirates,2022-01-11 08:21:10,23.424076,53.847818,788187,2174,,,7969.212569764622,,,0.27582286944595635,784,ARE,45293,23
United Kingdom,2022-01-11 08:21:10,55.0,-3.0,14709639,150712,,,21668.14679503009,,,1.0245798690232983,826,GBR,3773755,3777
Uruguay,2022-01-11 08:21:10,-32.5228,-55.7658,456179,6199,,,13132.263991960219,,,1.3588963981244204,858,URY,53670,54
Uzbekistan,2022-01-11 08:21:10,41.377491,64.585262,201155,1501,,,601.0152797501966,,,0.7461907484278293,860,UZB,4772,57
Vanuatu,2022-01-11 08:21:10,-15.3767,166.9592,7,1,,,2.3916905835725024,,,14.285714285714285,548,VUT,1,0
Venezuela,2022-01-11 08:21:10,6.4238,-66.5897,447865,5361,,,1574.9961237438126,,,1.197012492603798,862,VEN,8605,118
Vietnam,2022-01-11 08:21:10,14.058324,108.277199,1914393,34531,,,1966.7360475136566,,,1.803757117791384,704,VNM,485965,6450
West Bank and Gaza,2022-01-11 08:21:10,31.9522,35.2332,472910,4987,,,9270.17126225346,,,1.0545346894757988,275,PSE,8569,143
Yemen,2022-01-11 08:21:10,15.552727,48.516388,10197,1986,,,34.18832877444246,,,19.476316563695203,887,YEM,125,14
Zambia,2022-01-11 08:21:10,-13.133897,27.849332,284389,3817,,,1546.9412568219811,,,1.3421756819004955,894,ZMB,73155,147
Zimbabwe,2022-01-11 08:21:10,-19.015438,29.154857,223000,5180,,,1500.377415565588,,,2.3228699551569507,716,ZWE,55860,442
